Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",11231.8,11958.5,11231.8,11403.7,9926540000,189536000000
"Feb 19, 2018",10552.6,11273.8,10513.2,11225.3,7652090000,178055000000
"Feb 18, 2018",11123.4,11349.8,10326,10551.8,8744010000,187663000000
"Feb 17, 2018",10207.5,11139.5,10149.4,11112.7,8660880000,172191000000
"Feb 16, 2018",10135.7,10324.1,9824.82,10233.9,7296160000,170960000000
"Feb 15, 2018",9488.32,10234.8,9395.58,10166.4,9062540000,160025000000
"Feb 14, 2018",8599.92,9518.54,8599.92,9494.63,7909820000,145023000000
"Feb 13, 2018",8926.72,8958.47,8455.41,8598.31,5696720000,150516000000
"Feb 12, 2018",8141.43,8985.92,8141.43,8926.57,6256440000,137258000000
"Feb 11, 2018",8616.13,8616.13,7931.1,8129.97,6122190000,145245000000
"Feb 10, 2018",8720.08,9122.55,8295.47,8621.9,7780960000,146981000000
"Feb 09, 2018",8271.84,8736.98,7884.71,8736.98,6784820000,139412000000
"Feb 08, 2018",7637.86,8558.77,7637.86,8265.59,9346750000,128714000000
"Feb 07, 2018",7755.49,8509.11,7236.79,7621.3,9169280000,130683000000
"Feb 06, 2018",7051.75,7850.7,6048.26,7754,13999800000,118810000000
"Feb 05, 2018",8270.54,8364.84,6756.68,6955.27,9285290000,139325000000
"Feb 04, 2018",9175.7,9334.87,8031.22,8277.01,7073550000,154553000000
"Feb 03, 2018",8852.12,9430.75,8251.63,9174.91,7263790000,149085000000
"Feb 02, 2018",9142.28,9142.28,7796.49,8830.75,12726900000,153953000000
"Feb 01, 2018",10237.3,10288.8,8812.28,9170.54,9959400000,172372000000
"Jan 31, 2018",10108.2,10381.6,9777.42,10221.1,8041160000,170183000000
"Jan 30, 2018",11306.8,11307.2,10036.2,10106.3,8637860000,190339000000
"Jan 29, 2018",11755.5,11875.6,11179.2,11296.4,7107360000,197871000000
"Jan 28, 2018",11475.3,12040.3,11475.3,11786.3,8350360000,193133000000
"Jan 27, 2018",11174.9,11614.9,10989.2,11440.7,7583270000,188054000000
"Jan 26, 2018",11256,11656.7,10470.3,11171.4,9746200000,189398000000
"Jan 25, 2018",11421.7,11785.7,11057.4,11259.4,8873170000,192163000000
"Jan 24, 2018",10903.4,11501.4,10639.8,11359.4,9940990000,183419000000
"Jan 23, 2018",10944.5,11377.6,10129.7,10868.4,9660610000,184087000000
"Jan 22, 2018",11633.1,11966.4,10240.2,10931.4,10537400000,195645000000
"Jan 21, 2018",12889.2,12895.9,11288.2,11600.1,9935180000,216740000000
"Jan 20, 2018",11656.2,13103,11656.2,12899.2,11801700000,195979000000
"Jan 19, 2018",11429.8,11992.8,11172.1,11607.4,10740400000,192150000000
"Jan 18, 2018",11198.8,12107.3,10942.5,11474.9,15020400000,188242000000
"Jan 17, 2018",11431.1,11678,9402.29,11188.6,18830600000,192123000000
"Jan 16, 2018",13836.1,13843.1,10194.9,11490.5,18853800000,232517000000
"Jan 15, 2018",13767.3,14445.5,13641.7,13819.8,12750800000,231334000000
"Jan 14, 2018",14370.8,14511.8,13268,13772,11084100000,241447000000
"Jan 13, 2018",13952.4,14659.5,13952.4,14360.2,12763600000,234391000000
"Jan 12, 2018",13453.9,14229.9,13158.1,13980.6,12065700000,225986000000
"Jan 11, 2018",14968.2,15018.8,13105.9,13405.8,16534100000,251387000000
"Jan 10, 2018",14588.5,14973.3,13691.2,14973.3,18500800000,244981000000
"Jan 09, 2018",15123.7,15497.5,14424,14595.4,16660000000,253935000000
"Jan 08, 2018",16476.2,16537.9,14208.2,15170.1,18413900000,276612000000
"Jan 07, 2018",17527.3,17579.6,16087.7,16477.6,15866000000,294222000000
"Jan 06, 2018",17462.1,17712.4,16764.6,17527,18314600000,293091000000
"Jan 05, 2018",15477.2,17705.2,15202.8,17429.5,23840900000,259748000000
"Jan 04, 2018",15270.7,15739.7,14522.2,15599.2,21783200000,256250000000
"Jan 03, 2018",14978.2,15572.8,14844.5,15201,16871900000,251312000000
"Jan 02, 2018",13625,15444.6,13163.6,14982.1,16846600000,228579000000
"Jan 01, 2018",14112.2,14112.2,13154.7,13657.2,10291200000,236725000000
"Dec 31, 2017",12897.7,14377.4,12755.6,14156.4,12136300000,216326000000
"Dec 30, 2017",14681.9,14681.9,12350.1,12952.2,14452600000,246224000000
"Dec 29, 2017",14695.8,15279,14307,14656.2,13025500000,246428000000
"Dec 28, 2017",15864.1,15888.4,13937.3,14606.5,12336500000,265988000000
"Dec 27, 2017",16163.5,16930.9,15114.3,15838.5,12487600000,270976000000
"Dec 26, 2017",14036.6,16461.2,14028.9,16099.8,13454300000,235294000000
"Dec 25, 2017",13995.9,14593,13448.9,14026.6,10664700000,234590000000
"Dec 24, 2017",14608.2,14626,12747.7,13925.8,11572300000,244824000000
"Dec 23, 2017",13948.7,15603.2,13828.8,14699.2,13086000000,233748000000
"Dec 22, 2017",15898,15943.4,11833,13831.8,22198000000,266381000000
"Dec 21, 2017",16642.4,17567.7,15342.7,15802.9,16516600000,278827000000
"Dec 20, 2017",17760.3,17934.7,16077.7,16624.6,22149700000,297526000000
"Dec 19, 2017",19118.3,19177.8,17275.4,17776.7,16894500000,320242000000
"Dec 18, 2017",19106.4,19371,18355.9,19114.2,14839500000,320000000000
"Dec 17, 2017",19475.8,20089,18974.1,19140.8,13314600000,326141000000
"Dec 16, 2017",17760.3,19716.7,17515.3,19497.4,12740600000,297376000000
"Dec 15, 2017",16601.3,18154.1,16601.3,17706.9,14310000000,277936000000
